Word,Regex,Swearing,Sexual,Racism,Xenophobic,Sexism,Other
bollocks,,1,1,0,0,0,0
bollok,,1,1,0,0,0,0
bollox,,1,1,0,0,0,0
bomd,,,,,,,
bondage,,0,1,0,0,0,0
boner,,0,1,0,0,0,0
boners,,0,1,0,0,0,0
bong,,0,0,0,0,0,1
boob,,0,1,0,0,0,0
boobies,,0,1,0,0,0,0
boobs,,0,1,0,0,0,0
booby,,0,1,0,0,0,0
bookie,,0,0,0,0,0,1
boong,,0,0,0,0,0,1
boonga,,,,,,,
booobs,,0,1,0,0,0,0
boooobs,,0,1,0,0,0,0
booooobs,,0,1,0,0,0,0
booooooobs,,0,1,0,0,0,0
bootee,,0,1,0,0,0,0
bootie,,0,1,0,0,0,0
booty,,0,1,0,0,0,0
bootycall,,0,1,0,0,0,0
booze,,0,0,0,0,0,1
boozer,,0,0,0,0,0,1
boozy,,0,0,0,0,0,1
bosom,,0,0,0,0,0,1
bosomy,,,,,,,
breast,,0,1,0,0,0,0
breastjob,,0,1,0,0,0,0
breastlover,,0,1,0,0,0,0
breastman,,0,1,0,0,0,0
breasts,,0,1,0,0,0,0
brotherfucker,,0,1,0,0,0,0
brownshowers,,,,,,,
brunetteaction,,,,,,,
buceta,,,,,,,
bugger,,,,,,,
buggered,,,,,,,
buggery,,,,,,,
bukkake,,0,1,0,0,0,0
bullshit,,1,0,0,0,0,
bullcrap,,1,0,0,0,0,0
bulldike,,0,1,0,1,1,0
bulldyke,,0,1,0,1,1,0
bulletvibe,,,,,,,
bullshit,,1,0,0,0,0,0
bullshits,,1,0,0,0,0,0
bullshitted,,1,0,0,0,0,0
bullturds,,1,0,0,0,0,0
bumboy,,,,,,,
bumblefuck,,1,0,0,0,0,0
bumclat,,,,,,,
bumfuck,,1,1,0,0,0,0
bung,,,,,,,
bunghole,,1,1,0,0,0,0
bunga,,,,,,,
bunghole,,1,1,0,0,0,0
bunnyfucker,,1,1,0,0,0,0
bustaload,,0,1,0,0,0,0
busty,,0,1,0,0,0,0
butchdike,,0,1,0,1,1,0
butchdyke,,0,1,0,1,1,0
butt,,0,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttplug,,0,1,0,0,0,0
buttbang,,0,1,0,0,0,0
buttbang,,0,1,0,0,0,0
buttcheeks,,0,1,0,0,0,0
buttface,,0,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttfuck,,1,1,0,0,0,0
buttfucka,,1,1,0,0,0,0
buttfucker,,1,1,0,0,0,0
buttfucker,,1,1,0,0,0,0
butthead,,1,0,0,0,0,0
butthole,,1,0,0,0,0,0
buttman,,0,1,0,0,0,0
buttmuch,,0,1,0,0,0,0
buttmunch,,0,1,0,0,0,0
buttmuncher,,0,1,0,0,0,0
buttpirate,,0,1,0,0,0,0
buttplug,,0,1,0,0,0,0
caca,,0,0,0,0,0,1
cahone,,,,,,,
cameltoe,,0,1,0,0,1,0
cameltoe,,0,1,0,0,1,0
camgirl,,0,1,0,0,0,0
camslut,,0,1,0,1,0,0
camwhore,,0,1,0,1,0,0
carpetmuncher,,0,1,0,1,0,0
carpetmuncher,,0,1,0,1,0,0
cawk,,0,1,0,0,0,0
chesticle,,0,0,0,1,0,0
chichiman,,,,,,,
chickwithadick,,0,1,0,1,1,0
childfucker,,1,1,0,0,0,0
chin,,,,,,,
chinc,,0,0,1,1,0,0
chincs,,0,0,1,1,0,0
